Alarm Code,Description,Count
1," ""WTC Cycle Time Overrun""",0
2," ""WTC Cycle Time Serious Overrun""",0
3," ""Controller Call Period Mismatch""",0
4," ""Controller Call Period Too Long""",0
5," ""Controller Call Period Too Short""",0
6," ""Cold Boot happened. All channels reinitialised.""",0
7," ""Warm Boot""",0
8," ""Start Up PCS Grid Connection Time Out""",0
9," ""Start Up Synching Speed Time Out""",0
10," ""Start Up Rotor Position Encoder Time Out""",0
11," ""Controller Task Stack Usage Critical""",0
12," ""Scada Shutdown Request""",0
13," ""Shutdown Cycling""",0
14," ""Ss Nacelle E Stop Pressed""",0
15," ""Ss Yaw E Stop Pressed""",0
16," ""Ss Rotor Lock Panel E Stop Pressed""",0
17," ""Ss TowerBox EStop Pressed""",0
18," ""Ss PCS E Stop Pressed""",0
19," ""Ss Cable Twist Cw""",0
20," ""Ss Cable Twist Ccw""",0
21," ""Ss Watchdog Trip""",0
22," ""Ss Vibration Trip""",0
23," ""Ss Rotor Over Speed Trip""",0
24," ""Ss Over Power Trip""",0
25," ""Ss Short Circuit Trip""",0
26," ""Ss Controller Initiated Turbine Trip""",0
27," ""Ss Personnel Level Trip""",0
28," ""Ss Yaw Level Trip""",0
29," ""Ss Turbine Level Trip""",0
30," ""Nacelle EStop Safety PLC / WTC mismatch""",0
31," ""Yaw EStop Safety PLC / WTC mismatch""",0
32," ""RLCP EStop Safety PLC / WTC mismatch""",0
33," ""TowerBox EStop Safety PLC / WTC mismatch""",0
34," ""PCS EStop Safety PLC / WTC mismatch""",0
35," ""Cable twist limit CW Safety PLC / WTC mismatch""",0
36," ""Cable twist limit CCW Safety PLC / WTC mismatch""",0
37," ""Watchdog Safety PLC / WTC mismatch""",0
38," ""Vibration Safety PLC / WTC mismatch""",0
39," ""Overspeed Safety PLC / WTC mismatch""",0
40," ""Overpower Safety PLC / WTC mismatch""",0
41," ""Short Circuit Safety PLC / WTC mismatch""",0
42," ""Rotor Underspeed Misconfigured""",0
43," ""Personnel Ss Failed To Trip""",0
44," ""Yaw Ss Failed To Trip""",0
45," ""Turbine Ss Failed To Trip""",0
46," ""Remote Switch Manual""",0
47," ""Nacelle Key Switch Manual""",0
