,On,Off,Index,Description,Duration
0,18/02/2017 07:12,23/02/2017 16:08,999105.0,Operational Control - Suspended - Forced outage,464126.0
1,08/03/2017 16:30,17/03/2017 15:42,999105.0,Suspended - Forced outage - LDT,774717.0
2,17/03/2017 18:51,23/03/2017 15:30,999105.0,Suspended - Forced outage - LDT,506300.0
3,24/03/2017 09:10,24/03/2017 15:20,999105.0,Operational Control - Suspended - Forced outage,22200.0
4,24/03/2017 22:30,25/03/2017 00:45,999105.0,Operational Control - Suspended - Forced outage,8044.0
5,16/11/2017 17:43,18/12/2017 00:00,999105.0,Suspended - Forced outage - LDT,2701020.0
6,21/05/2018 06:16,21/05/2018 18:04,999105.0,Suspended - Forced outage - LDT,42464.0
7,22/05/2018 06:17,22/05/2018 18:13,999105.0,Suspended - Forced outage - LDT,42913.0
8,23/05/2018 06:16,23/05/2018 18:12,999105.0,Suspended - Forced outage - LDT,42970.0
9,24/05/2018 06:21,24/05/2018 18:11,999105.0,Suspended - Forced outage - LDT,42609.0
10,25/05/2018 06:06,25/05/2018 14:08,999105.0,Suspended - Forced outage - LDT,28924.0
11,28/05/2018 06:07,28/05/2018 18:16,999105.0,Suspended - Forced outage - LDT,43739.0
12,29/05/2018 06:12,29/05/2018 17:48,999105.0,Suspended - Forced outage - LDT,41749.0
13,30/05/2018 06:24,30/05/2018 18:30,999105.0,Suspended - Forced outage - LDT,43561.0
14,31/05/2018 06:16,31/05/2018 17:26,999105.0,Suspended - Forced outage - LDT,40142.0
15,01/06/2018 06:18,01/06/2018 14:05,999105.0,Suspended - Forced outage - LDT,28000.0
16,04/06/2018 06:22,04/06/2018 17:08,999105.0,Suspended - Forced outage - LDT,38794.0
